Xp,Yp,Hsig,RTpeak,Dir,Depth
378730.0,4.65822e+06,0.0677753,3.79746,164.464,10.0
378746.0,4.65822e+06,0.0650629,3.79746,164.944,10.0
378758.0,4.65822e+06,0.00984171,3.45224,175.005,10.0
378675.0,4.65816e+06,0.00186034,8.14013,145.0,10.0
378689.0,4.65816e+06,0.00952216,8.14013,152.502,10.0
378729.0,4.6582e+06,0.0624662,3.79746,164.107,10.0
378745.0,4.65821e+06,0.0806956,3.79746,164.844,10.0
378699.0,4.65815e+06,0.0113891,8.14013,153.158,10.0
378670.0,4.6581e+06,8.55086e-08,1.0,68.9932,10.0
378674.0,4.65815e+06,0.00138874,8.14013,145.0,10.0
378687.0,4.65814e+06,0.00183694,8.14013,145.0,10.0
378703.0,4.65817e+06,0.0253635,8.14013,156.984,10.0
378729.0,4.65818e+06,0.055658,3.79746,163.398,10.0
378747.0,4.65819e+06,0.0779543,3.79746,164.721,10.0
378762.0,4.6582e+06,0.0958211,3.79746,165.121,10.0
378692.0,4.65813e+06,4.89383e-06,3.45224,129.243,10.0
378712.0,4.65815e+06,0.0296627,8.14013,158.114,10.0
378703.0,4.65814e+06,0.00328066,8.14013,145.0,10.0
378682.0,4.6581e+06,5.21269e-08,1.0,66.5926,10.0
378671.0,4.65811e+06,1.02203e-06,3.45224,124.245,10.0
378697.0,4.6581e+06,3.1188e-08,1.0,65.4175,10.0
378672.0,4.65813e+06,2.59487e-06,3.45224,125.668,10.0
378718.0,4.65817e+06,0.0398089,8.14013,160.408,10.0
378728.0,4.65817e+06,0.0508376,4.59492,162.585,10.0
378747.0,4.65817e+06,0.0713466,3.79746,164.371,10.0
378768.0,4.65818e+06,0.0964604,3.79746,165.141,10.0
378711.0,4.65812e+06,5.9497e-06,3.45224,129.976,10.0
378718.0,4.65814e+06,0.0309276,8.14013,158.622,10.0
378691.0,4.65811e+06,2.16878e-06,3.45224,127.217,10.0
378729.0,4.65815e+06,0.0450234,8.14013,161.197,10.0
378773.0,4.65816e+06,0.0970896,3.79746,165.161,10.0
378756.0,4.65815e+06,0.0778969,3.79746,164.593,10.0
378669.0,4.65809e+06,0.0054629,8.14013,146.343,10.0
378731.0,4.65813e+06,0.0405036,8.14013,159.336,10.0
378708.0,4.65811e+06,2.72627e-06,3.45224,128.327,10.0
378717.0,4.6581e+06,1.47862e-08,1.0,59.6108,10.0
378746.0,4.65814e+06,0.0631756,3.79746,163.588,10.0
378779.0,4.65814e+06,0.0979249,3.79746,165.183,10.0
378758.0,4.65814e+06,0.0757793,3.79746,164.408,10.0
378668.0,4.65807e+06,0.00294841,8.14013,144.969,10.0
378667.0,4.65806e+06,0.000970767,8.14013,144.701,10.0
378682.0,4.65809e+06,0.00768393,8.14013,146.94,10.0
378737.0,4.65809e+06,8.30933e-09,1.0,77.1198,10.0
378725.0,4.65811e+06,5.66235e-06,3.45224,130.448,10.0
378749.0,4.65813e+06,0.0618367,4.59492,163.212,10.0
378766.0,4.65813e+06,0.0812794,3.79746,164.602,10.0
378685.0,4.65807e+06,0.00430002,8.14013,145.019,10.0
378666.0,4.65804e+06,0.000396775,8.14013,144.692,10.0
378702.0,4.65808e+06,0.0134704,8.14013,148.447,10.0
378742.0,4.65811e+06,0.0466128,8.14013,160.146,10.0
378785.0,4.65812e+06,0.0988151,3.79746,165.21,10.0
378761.0,4.65811e+06,0.0719199,3.79746,163.941,10.0
378666.0,4.65802e+06,2.03777e-07,1.0,77.6405,10.0
378705.0,4.65807e+06,0.00843178,8.14013,145.95,10.0
378692.0,4.65806e+06,0.00290751,8.14013,144.933,10.0
378680.0,4.65804e+06,0.000573994,8.14013,144.739,10.0
378722.0,4.65808e+06,0.0239112,8.14013,150.632,10.0
378727.0,4.65807e+06,0.0192826,8.14013,149.67,10.0
378752.0,4.65809e+06,0.0553762,8.14013,161.024,10.0
378771.0,4.6581e+06,0.0804254,3.79746,164.45,10.0
378689.0,4.65802e+06,1.0341e-07,1.0,74.9073,10.0
378712.0,4.65805e+06,0.00592214,8.14013,145.241,10.0
378699.0,4.65804e+06,0.00151665,8.14013,144.882,10.0
378754.0,4.65808e+06,0.0542648,8.14013,160.307,10.0
378738.0,4.65808e+06,0.0421091,8.14013,153.291,10.0
378791.0,4.6581e+06,0.0997429,3.79746,165.246,10.0
378773.0,4.65808e+06,0.0774501,3.79746,164.148,10.0
378709.0,4.65802e+06,6.72319e-08,1.0,65.1996,10.0
378721.0,4.65804e+06,0.00437387,8.14013,145.512,10.0
378746.0,4.65807e+06,0.0433263,8.14013,153.207,10.0
378765.0,4.65807e+06,0.0613759,8.14013,161.493,10.0
378735.0,4.65805e+06,0.0183605,8.14013,150.299,10.0
378797.0,4.65808e+06,0.100596,3.79746,165.28,10.0
378784.0,4.65807e+06,0.085671,3.79746,164.479,10.0
378729.0,4.65802e+06,3.87563e-08,1.0,58.9892,10.0
378744.0,4.65803e+06,0.017091,8.14013,151.272,10.0
378757.0,4.65805e+06,0.0460916,8.14013,153.54,10.0
378802.0,4.65806e+06,0.101534,3.79746,165.327,10.0
378791.0,4.65805e+06,0.0900823,3.79746,164.553,10.0
378775.0,4.65805e+06,0.0694217,8.14013,162.417,10.0
378749.0,4.65802e+06,2.29266e-08,1.0,52.2034,10.0
378766.0,4.65803e+06,0.0482551,8.14013,153.701,10.0
378808.0,4.65804e+06,0.102489,3.79746,165.384,10.0
378790.0,4.65803e+06,0.0859441,3.79746,163.934,10.0
378764.0,4.658e+06,0.0294233,8.14013,151.595,10.0
378797.0,4.65801e+06,0.0885005,3.79746,163.778,10.0
378775.0,4.65802e+06,0.0493586,8.14013,153.588,10.0
378808.0,4.65775e+06,4.55659e-08,1.0,17.8298,10.0
378798.0,4.65777e+06,5.86995e-13,1.0,175.0,10.0
378803.0,4.65775e+06,2.60037e-16,1.0,341.351,10.0
378784.0,4.65774e+06,2.59404e-09,1.0,16.0924,10.0
378766.0,4.65775e+06,2.30763e-08,1.0,26.7818,10.0
378814.0,4.65803e+06,0.103489,3.79746,165.44,10.0
378764.0,4.65798e+06,1.65997e-08,1.0,56.7344,10.0
378779.0,4.658e+06,0.0508766,8.14013,152.172,10.0
378842.0,4.65776e+06,7.55728e-16,1.0,335.0,10.0
378825.0,4.65775e+06,1.60659e-08,1.0,15.0981,10.0
378804.0,4.65776e+06,4.01204e-08,1.0,17.9803,10.0
378781.0,4.65776e+06,2.60061e-09,1.0,34.8869,10.0
378792.0,4.65778e+06,2.69505e-11,1.0,165.958,10.0
378760.0,4.65777e+06,2.72486e-08,1.0,29.9516,10.0
378820.0,4.65801e+06,0.104347,3.79746,165.504,10.0
378784.0,4.65798e+06,0.0530505,8.14013,151.813,10.0
378711.0,4.65792e+06,0.00422104,8.14013,134.98,10.0
378839.0,4.65777e+06,1.93589e-14,1.0,165.238,10.0
378818.0,4.65778e+06,1.73291e-08,1.0,15.787,10.0
378786.0,4.6578e+06,1.29219e-10,1.0,165.469,10.0
378777.0,4.65778e+06,2.09557e-09,1.0,37.3562,10.0
378754.0,4.65779e+06,3.03203e-08,1.0,33.1758,10.0
378802.0,4.65799e+06,0.0895257,3.79746,163.385,10.0
378794.0,4.65796e+06,0.0564713,8.14013,151.315,10.0
378826.0,4.65799e+06,0.105346,3.79746,165.573,10.0
378723.0,4.65792e+06,0.00601035,8.14013,134.987,10.0
378716.0,4.6579e+06,0.00216207,8.14013,134.958,10.0
378798.0,4.65778e+06,4.06663e-08,1.0,19.0085,10.0
378833.0,4.65779e+06,3.60924e-11,1.0,165.066,10.0
378812.0,4.6578e+06,1.88116e-08,1.0,16.4227,10.0
378767.0,4.6578e+06,9.67532e-09,1.0,26.6745,10.0
378748.0,4.65781e+06,4.92215e-08,1.0,39.1196,10.0
378825.0,4.65796e+06,0.104022,3.79746,164.698,10.0
378832.0,4.65797e+06,0.106183,3.79746,165.659,10.0
378814.0,4.65796e+06,0.101201,3.79746,163.772,10.0
378800.0,4.65794e+06,0.0598598,8.14013,150.924,10.0
378722.0,4.65789e+06,0.000994553,8.14013,134.937,10.0
378736.0,4.65792e+06,0.0304123,8.14013,144.033,10.0
378738.0,4.6579e+06,0.00333532,8.14013,134.97,10.0
378791.0,4.6578e+06,4.03067e-08,1.0,20.4824,10.0
378827.0,4.65781e+06,1.51359e-10,1.0,165.055,10.0
378806.0,4.65781e+06,1.98663e-08,1.0,16.9326,10.0
378729.0,4.65787e+06,2.38832e-06,3.79746,111.862,10.0
378780.0,4.65782e+06,4.09274e-10,1.0,165.255,10.0
378759.0,4.65783e+06,2.75917e-08,1.0,39.1471,10.0
378735.0,4.65785e+06,1.51247e-07,1.0,65.9977,10.0
378742.0,4.65783e+06,9.21335e-08,1.0,54.3932,10.0
378837.0,4.65795e+06,0.106979,3.79746,165.746,10.0
378803.0,4.65793e+06,0.0928174,8.14013,158.587,10.0
378817.0,4.65794e+06,0.103342,4.59492,163.005,10.0
378795.0,4.65793e+06,0.0839208,8.14013,155.821,10.0
378741.0,4.65788e+06,0.00146436,8.14013,134.953,10.0
378776.0,4.65792e+06,0.0668433,8.14013,147.988,10.0
378756.0,4.65792e+06,0.0494312,8.14013,144.272,10.0
378785.0,4.65782e+06,3.85647e-08,1.0,23.1355,10.0
378820.0,4.65783e+06,4.45332e-10,1.0,165.048,10.0
378753.0,4.65787e+06,3.0021e-06,3.79746,112.429,10.0
378775.0,4.65784e+06,7.28598e-10,1.0,165.183,10.0
378755.0,4.65784e+06,7.00683e-08,1.0,62.1048,10.0
378843.0,4.65793e+06,0.107612,3.79746,165.86,10.0
378830.0,4.65793e+06,0.112652,3.79746,164.112,10.0
378809.0,4.65792e+06,0.0974993,8.14013,159.109,10.0
378791.0,4.65791e+06,0.0767667,8.14013,151.457,10.0
378759.0,4.65789e+06,0.00427212,8.14013,134.977,10.0
378773.0,4.65791e+06,0.0607028,8.14013,144.429,10.0
378814.0,4.65785e+06,1.11582e-09,1.0,165.042,10.0
378800.0,4.65783e+06,2.16928e-08,1.0,18.1704,10.0
378779.0,4.65784e+06,3.69652e-08,1.0,32.7776,10.0
378769.0,4.65786e+06,5.03434e-08,1.0,85.5429,10.0
378849.0,4.65791e+06,0.108244,3.79746,165.973,10.0
378826.0,4.65791e+06,0.119635,8.14013,162.481,10.0
378784.0,4.6579e+06,0.0630336,8.14013,144.442,10.0
378776.0,4.65788e+06,0.00348845,8.14013,134.981,10.0
378809.0,4.6579e+06,0.0912072,8.14013,154.944,10.0
378809.0,4.65786e+06,2.11538e-09,1.0,165.038,10.0
378793.0,4.65786e+06,2.40742e-08,1.0,23.5563,10.0
378831.0,4.65789e+06,0.123073,8.14013,162.081,10.0
378855.0,4.65789e+06,0.108909,3.79746,166.096,10.0
378803.0,4.65788e+06,0.0748297,8.14013,144.533,10.0
378818.0,4.65788e+06,0.100251,8.14013,155.826,10.0
378860.0,4.65787e+06,0.109624,3.79746,166.225,10.0
378837.0,4.65787e+06,0.127522,8.14013,161.397,10.0
378849.0,4.65786e+06,0.146517,3.79746,163.56,10.0
378820.0,4.65784e+06,1.56596e-08,1.0,18.6039,10.0
378812.0,4.65786e+06,0.0883994,8.14013,146.76,10.0
378866.0,4.65785e+06,0.108748,3.79746,166.346,10.0
378830.0,4.65785e+06,0.130079,8.14013,149.142,10.0
378852.0,4.65784e+06,0.152202,4.59492,162.954,10.0
378880.0,4.65784e+06,0.0519861,3.45224,170.481,10.0
378872.0,4.65784e+06,0.110086,3.79746,165.322,10.0
378838.0,4.65782e+06,0.14595,8.14013,148.44,10.0
378862.0,4.65782e+06,0.168755,3.79746,163.583,10.0
378885.0,4.65783e+06,0.0431047,3.45224,172.574,10.0
378890.0,4.65781e+06,1.35919e-13,3.79746,255.024,10.0
378845.0,4.6578e+06,0.159247,8.14013,147.994,10.0
378880.0,4.6578e+06,0.196866,3.79746,165.968,10.0
378851.0,4.65778e+06,0.171503,8.14013,147.665,10.0
378863.0,4.65774e+06,0.233119,8.14013,143.781,10.0
378857.0,4.65776e+06,0.19189,8.14013,146.532,10.0
378888.0,4.65778e+06,0.202271,3.79746,166.435,10.0
378875.0,4.65777e+06,0.190803,8.14013,158.882,10.0
378878.0,4.65775e+06,0.223678,8.14013,155.114,10.0
378894.0,4.65776e+06,0.208389,3.79746,166.74,10.0
378869.0,4.65773e+06,0.267421,8.14013,142.378,10.0
378900.0,4.65774e+06,0.214794,3.79746,167.058,10.0
378878.0,4.65771e+06,0.390099,8.14013,147.766,10.0
378888.0,4.65772e+06,0.244342,8.14013,154.911,10.0
378906.0,4.65772e+06,0.222927,3.79746,167.512,10.0
378895.0,4.65771e+06,0.275161,8.14013,153.902,10.0
378855.0,4.65767e+06,0.251146,3.79746,169.19,10.0
378825.0,4.65765e+06,1.11078,8.14013,136.522,10.0
378911.0,4.6577e+06,0.232177,3.45224,168.12,10.0
378886.0,4.65769e+06,0.431758,8.14013,146.243,10.0
378865.0,4.65767e+06,0.622948,8.14013,142.445,10.0
378874.0,4.65768e+06,0.546893,8.14013,145.97,10.0
378838.0,4.65766e+06,0.891846,8.14013,141.229,10.0
378859.0,4.65766e+06,0.25086,3.79746,169.164,10.0
378832.0,4.65764e+06,1.21014,8.14013,134.526,10.0
378810.0,4.65764e+06,1.26138,8.14013,133.863,10.0
378811.0,4.65763e+06,1.38579,8.14013,131.119,10.0
378900.0,4.65769e+06,0.309725,8.14013,152.697,10.0
378894.0,4.65767e+06,0.47982,8.14013,144.638,10.0
378886.0,4.65768e+06,0.0842961,3.45224,169.057,10.0
378859.0,4.65767e+06,0.521032,8.14013,136.542,10.0
378874.0,4.65767e+06,0.681293,8.14013,144.353,10.0
378866.0,4.65764e+06,0.250402,3.45224,169.127,10.0
378850.0,4.65764e+06,1.05428,8.14013,137.519,10.0
378823.0,4.65762e+06,1.4459,8.14013,129.43,10.0
378842.0,4.65761e+06,1.40385,8.14013,130.017,10.0
378795.0,4.65764e+06,1.39039,8.14013,131.251,10.0
378792.0,4.65762e+06,1.52531,8.14013,127.953,10.0
378900.0,4.65766e+06,0.572453,8.14013,147.821,10.0
378917.0,4.65768e+06,0.243054,3.45224,168.804,10.0
378890.0,4.65767e+06,0.0670291,3.45224,169.878,10.0
378863.0,4.65766e+06,0.511461,8.14013,134.903,10.0
378859.0,4.65762e+06,1.21648,8.14013,134.652,10.0
378864.0,4.6576e+06,1.4582,8.14013,127.401,10.0
378803.0,4.65761e+06,1.62739,8.14013,125.407,10.0
378826.0,4.6576e+06,1.65112,8.14013,124.089,10.0
378843.0,4.65759e+06,1.65768,8.14013,123.272,10.0
378777.0,4.65763e+06,1.52197,8.14013,128.308,10.0
378781.0,4.6576e+06,1.70938,8.14013,123.95,10.0
378923.0,4.65766e+06,0.244858,3.45224,169.005,10.0
378880.0,4.65766e+06,0.763026,8.14013,142.786,10.0
378895.0,4.65766e+06,0.00373305,3.79746,205.057,10.0
378909.0,4.65764e+06,0.606993,8.14013,146.763,10.0
378870.0,4.65764e+06,0.461629,8.14013,132.526,10.0
378875.0,4.65762e+06,1.12231,8.14013,136.916,10.0
378868.0,4.65758e+06,1.71969,8.14013,119.315,10.0
378853.0,4.65758e+06,1.80973,8.14013,118.69,10.0
