Xp,Yp,Hsig,RTpeak,Dir,Depth
2478.0,5713.0,0.152031,1.21,150.924,10.0
2494.09,5717.5,0.108647,1.21,168.577,10.0
2505.5,5711.5,0.0749815,1.21,183.88,10.0
2423.0,5657.5,0.177644,1.331,117.657,10.0
2436.91,5659.5,0.178571,1.331,121.776,10.0
2477.19,5698.5,0.16433,1.21,146.08,10.0
2492.98,5702.23,0.129406,1.21,163.914,10.0
2447.24,5649.11,0.183814,1.21,117.098,10.0
2418.5,5593.0,0.161454,1.21,65.1365,10.0
2421.69,5644.0,0.182248,1.331,109.478,10.0
2435.18,5640.04,0.185834,1.21,109.825,10.0
2450.91,5661.0,0.185015,1.331,128.207,10.0
2476.81,5678.5,0.178674,1.21,138.439,10.0
2495.07,5683.86,0.146872,1.21,158.16,10.0
2510.09,5692.5,0.104632,1.21,175.185,10.0
2439.81,5625.72,0.18989,1.21,103.04,10.0
2459.61,5648.48,0.194968,1.21,122.855,10.0
2450.77,5635.16,0.187507,1.21,109.715,10.0
2429.69,5592.5,0.166651,1.21,65.4771,10.0
2418.81,5606.0,0.169215,1.21,85.566,10.0
2444.91,5591.0,0.160048,1.21,63.0216,10.0
2420.0,5626.0,0.184509,1.331,99.0436,10.0
2465.6,5663.0,0.18749,1.21,133.341,10.0
2476.5,5664.5,0.190738,1.21,132.556,10.0
2495.35,5660.74,0.189091,1.21,141.754,10.0
2515.69,5673.5,0.105018,1.21,175.293,10.0
2458.88,5619.61,0.188126,1.21,103.763,10.0
2466.07,5634.69,0.200976,1.21,118.703,10.0
2438.89,5608.99,0.177645,1.21,91.3822,10.0
2476.64,5647.75,0.198125,1.21,126.859,10.0
2521.41,5654.0,0.105799,1.21,175.865,10.0
2504.45,5647.13,0.177821,1.21,149.771,10.0
2417.41,5581.5,0.17173,1.331,117.007,10.0
2479.43,5623.62,0.202757,1.21,122.739,10.0
2456.13,5603.04,0.175728,1.21,88.8647,10.0
2464.91,5590.5,0.149697,1.1,61.685,10.0
2493.92,5639.24,0.203903,1.21,137.268,10.0
2527.19,5635.0,0.10469,1.21,175.655,10.0
2506.08,5632.26,0.192749,1.21,143.173,10.0
2416.41,5569.0,0.183509,1.331,107.878,10.0
2415.31,5554.5,0.187606,1.331,99.9258,10.0
2430.1,5581.0,0.174104,1.331,118.806,10.0
2484.91,5589.5,0.135116,1.1,73.7174,10.0
2473.04,5605.12,0.186214,1.21,98.2425,10.0
2497.31,5620.65,0.205708,1.21,132.58,10.0
2513.8,5621.91,0.172094,1.21,150.281,10.0
2432.68,5566.14,0.185579,1.331,108.715,10.0
