WKT,element
"POLYGON ((0.0 0.0 100.0,10.101 0.0 100.01,0.0 2.5 100.0,0.0 0.0 100.0))",1
"POLYGON ((0.0 2.5 100.0,10.101 0.0 100.01,10.101 2.5 100.01,0.0 2.5 100.0))",2
"POLYGON ((0.0 2.5 100.0,10.101 2.5 100.01,0.0 5.0 100.0,0.0 2.5 100.0))",3
"POLYGON ((0.0 5.0 100.0,10.101 2.5 100.01,10.101 5.0 100.01,0.0 5.0 100.0))",4
"POLYGON ((0.0 5.0 100.0,10.101 5.0 100.01,0.0 7.5 100.0,0.0 5.0 100.0))",5
"POLYGON ((0.0 7.5 100.0,10.101 5.0 100.01,10.101 7.5 100.01,0.0 7.5 100.0))",6
"POLYGON ((0.0 7.5 100.0,10.101 7.5 100.01,0.0 10.0 100.0,0.0 7.5 100.0))",7
"POLYGON ((0.0 10.0 100.0,10.101 7.5 100.01,10.101 10.0 100.01,0.0 10.0 100.0))",8
"POLYGON ((10.101 0.0 100.01,20.202 0.0 100.02,10.101 2.5 100.01,10.101 0.0 100.01))",9
"POLYGON ((10.101 2.5 100.01,20.202 0.0 100.02,20.202 2.5 100.02,10.101 2.5 100.01))",10
"POLYGON ((10.101 2.5 100.01,20.202 2.5 100.02,10.101 5.0 100.01,10.101 2.5 100.01))",11
"POLYGON ((10.101 5.0 100.01,20.202 2.5 100.02,20.202 5.0 100.02,10.101 5.0 100.01))",12
"POLYGON ((10.101 5.0 100.01,20.202 5.0 100.02,10.101 7.5 100.01,10.101 5.0 100.01))",13
"POLYGON ((10.101 7.5 100.01,20.202 5.0 100.02,20.202 7.5 100.02,10.101 7.5 100.01))",14
"POLYGON ((10.101 7.5 100.01,20.202 7.5 100.02,10.101 10.0 100.01,10.101 7.5 100.01))",15
"POLYGON ((10.101 10.0 100.01,20.202 7.5 100.02,20.202 10.0 100.02,10.101 10.0 100.01))",16
"POLYGON ((20.202 0.0 100.02,30.303 0.0 100.03,20.202 2.5 100.02,20.202 0.0 100.02))",17
"POLYGON ((20.202 2.5 100.02,30.303 0.0 100.03,30.303 2.5 100.03,20.202 2.5 100.02))",18
"POLYGON ((20.202 2.5 100.02,30.303 2.5 100.03,20.202 5.0 100.02,20.202 2.5 100.02))",19
"POLYGON ((20.202 5.0 100.02,30.303 2.5 100.03,30.303 5.0 100.03,20.202 5.0 100.02))",20
"POLYGON ((20.202 5.0 100.02,30.303 5.0 100.03,20.202 7.5 100.02,20.202 5.0 100.02))",21
"POLYGON ((20.202 7.5 100.02,30.303 5.0 100.03,30.303 7.5 100.03,20.202 7.5 100.02))",22
"POLYGON ((20.202 7.5 100.02,30.303 7.5 100.03,20.202 10.0 100.02,20.202 7.5 100.02))",23
"POLYGON ((20.202 10.0 100.02,30.303 7.5 100.03,30.303 10.0 100.03,20.202 10.0 100.02))",24
"POLYGON ((30.303 0.0 100.03,40.404 0.0 100.04,30.303 2.5 100.03,30.303 0.0 100.03))",25
"POLYGON ((30.303 2.5 100.03,40.404 0.0 100.04,40.404 2.5 100.04,30.303 2.5 100.03))",26
"POLYGON ((30.303 2.5 100.03,40.404 2.5 100.04,30.303 5.0 100.03,30.303 2.5 100.03))",27
"POLYGON ((30.303 5.0 100.03,40.404 2.5 100.04,40.404 5.0 100.04,30.303 5.0 100.03))",28
"POLYGON ((30.303 5.0 100.03,40.404 5.0 100.04,30.303 7.5 100.03,30.303 5.0 100.03))",29
"POLYGON ((30.303 7.5 100.03,40.404 5.0 100.04,40.404 7.5 100.04,30.303 7.5 100.03))",30
"POLYGON ((30.303 7.5 100.03,40.404 7.5 100.04,30.303 10.0 100.03,30.303 7.5 100.03))",31
"POLYGON ((30.303 10.0 100.03,40.404 7.5 100.04,40.404 10.0 100.04,30.303 10.0 100.03))",32
"POLYGON ((40.404 0.0 100.04,50.505 0.0 100.051,40.404 2.5 100.04,40.404 0.0 100.04))",33
"POLYGON ((40.404 2.5 100.04,50.505 0.0 100.051,50.505 2.5 100.051,40.404 2.5 100.04))",34
"POLYGON ((40.404 2.5 100.04,50.505 2.5 100.051,40.404 5.0 100.04,40.404 2.5 100.04))",35
"POLYGON ((40.404 5.0 100.04,50.505 2.5 100.051,50.505 5.0 100.051,40.404 5.0 100.04))",36
"POLYGON ((40.404 5.0 100.04,50.505 5.0 100.051,40.404 7.5 100.04,40.404 5.0 100.04))",37
"POLYGON ((40.404 7.5 100.04,50.505 5.0 100.051,50.505 7.5 100.051,40.404 7.5 100.04))",38
"POLYGON ((40.404 7.5 100.04,50.505 7.5 100.051,40.404 10.0 100.04,40.404 7.5 100.04))",39
"POLYGON ((40.404 10.0 100.04,50.505 7.5 100.051,50.505 10.0 100.051,40.404 10.0 100.04))",40
"POLYGON ((50.505 0.0 100.051,60.606 0.0 100.061,50.505 2.5 100.051,50.505 0.0 100.051))",41
"POLYGON ((50.505 2.5 100.051,60.606 0.0 100.061,60.606 2.5 100.061,50.505 2.5 100.051))",42
"POLYGON ((50.505 2.5 100.051,60.606 2.5 100.061,50.505 5.0 100.051,50.505 2.5 100.051))",43
