WKT,node
"POINT (0.0 0.0 100.0)",1
"POINT (0.0 10.0 100.0)",2
"POINT (1000.0 0.0 101.0)",3
"POINT (1000.0 10.0 101.0)",4
"POINT (10.101 0.0 100.01)",5
"POINT (20.202 0.0 100.02)",6
"POINT (30.303 0.0 100.03)",7
"POINT (40.404 0.0 100.04)",8
"POINT (50.505 0.0 100.051)",9
"POINT (60.606 0.0 100.061)",10
"POINT (70.707 0.0 100.071)",11
"POINT (80.808 0.0 100.081)",12
"POINT (90.909 0.0 100.091)",13
"POINT (101.01 0.0 100.101)",14
"POINT (111.111 0.0 100.111)",15
"POINT (121.212 0.0 100.121)",16
"POINT (131.313 0.0 100.131)",17
"POINT (141.414 0.0 100.141)",18
"POINT (151.515 0.0 100.152)",19
"POINT (161.616 0.0 100.162)",20
"POINT (171.717 0.0 100.172)",21
"POINT (181.818 0.0 100.182)",22
"POINT (191.919 0.0 100.192)",23
"POINT (202.02 0.0 100.202)",24
"POINT (212.121 0.0 100.212)",25
"POINT (222.222 0.0 100.222)",26
"POINT (232.323 0.0 100.232)",27
"POINT (242.424 0.0 100.242)",28
"POINT (252.525 0.0 100.253)",29
"POINT (262.626 0.0 100.263)",30
"POINT (272.727 0.0 100.273)",31
"POINT (282.828 0.0 100.283)",32
"POINT (292.929 0.0 100.293)",33
"POINT (303.03 0.0 100.303)",34
"POINT (313.131 0.0 100.313)",35
"POINT (323.232 0.0 100.323)",36
"POINT (333.333 0.0 100.333)",37
"POINT (343.434 0.0 100.343)",38
"POINT (353.535 0.0 100.354)",39
"POINT (363.636 0.0 100.364)",40
"POINT (373.737 0.0 100.374)",41
"POINT (383.838 0.0 100.384)",42
"POINT (393.939 0.0 100.394)",43
"POINT (404.04 0.0 100.404)",44
"POINT (414.141 0.0 100.414)",45
"POINT (424.242 0.0 100.424)",46
"POINT (434.343 0.0 100.434)",47
"POINT (444.444 0.0 100.444)",48
"POINT (454.545 0.0 100.455)",49
"POINT (464.646 0.0 100.465)",50
"POINT (474.747 0.0 100.475)",51
"POINT (484.848 0.0 100.485)",52
"POINT (494.949 0.0 100.495)",53
"POINT (505.051 0.0 100.505)",54
"POINT (515.152 0.0 100.515)",55
"POINT (525.253 0.0 100.525)",56
"POINT (535.354 0.0 100.535)",57
"POINT (545.455 0.0 100.545)",58
"POINT (555.556 0.0 100.556)",59
"POINT (565.657 0.0 100.566)",60
"POINT (575.758 0.0 100.576)",61
"POINT (585.859 0.0 100.586)",62
"POINT (595.96 0.0 100.596)",63
"POINT (606.061 0.0 100.606)",64
"POINT (616.162 0.0 100.616)",65
"POINT (626.263 0.0 100.626)",66
"POINT (636.364 0.0 100.636)",67
"POINT (646.465 0.0 100.646)",68
"POINT (656.566 0.0 100.657)",69
"POINT (666.667 0.0 100.667)",70
"POINT (676.768 0.0 100.677)",71
"POINT (686.869 0.0 100.687)",72
"POINT (696.97 0.0 100.697)",73
"POINT (707.071 0.0 100.707)",74
"POINT (717.172 0.0 100.717)",75
"POINT (727.273 0.0 100.727)",76
"POINT (737.374 0.0 100.737)",77
"POINT (747.475 0.0 100.747)",78
"POINT (757.576 0.0 100.758)",79
"POINT (767.677 0.0 100.768)",80
"POINT (777.778 0.0 100.778)",81
"POINT (787.879 0.0 100.788)",82
"POINT (797.98 0.0 100.798)",83
"POINT (808.081 0.0 100.808)",84
"POINT (818.182 0.0 100.818)",85
"POINT (828.283 0.0 100.828)",86
"POINT (838.384 0.0 100.838)",87
"POINT (848.485 0.0 100.848)",88
"POINT (858.586 0.0 100.859)",89
"POINT (868.687 0.0 100.869)",90
"POINT (878.788 0.0 100.879)",91
"POINT (888.889 0.0 100.889)",92
"POINT (898.99 0.0 100.899)",93
"POINT (909.091 0.0 100.909)",94
"POINT (919.192 0.0 100.919)",95
"POINT (929.293 0.0 100.929)",96
"POINT (939.394 0.0 100.939)",97
"POINT (949.495 0.0 100.949)",98
"POINT (959.596 0.0 100.96)",99
"POINT (969.697 0.0 100.97)",100
"POINT (979.798 0.0 100.98)",101
"POINT (989.899 0.0 100.99)",102
"POINT (1000.0 2.5 101.0)",103
"POINT (1000.0 5.0 101.0)",104
"POINT (1000.0 7.5 101.0)",105
"POINT (989.899 10.0 100.99)",106
"POINT (979.798 10.0 100.98)",107
"POINT (969.697 10.0 100.97)",108
"POINT (959.596 10.0 100.96)",109
"POINT (949.495 10.0 100.949)",110
"POINT (939.394 10.0 100.939)",111
"POINT (929.293 10.0 100.929)",112
"POINT (919.192 10.0 100.919)",113
"POINT (909.091 10.0 100.909)",114
"POINT (898.99 10.0 100.899)",115
"POINT (888.889 10.0 100.889)",116
"POINT (878.788 10.0 100.879)",117
"POINT (868.687 10.0 100.869)",118
"POINT (858.586 10.0 100.859)",119
"POINT (848.485 10.0 100.848)",120
"POINT (838.384 10.0 100.838)",121
"POINT (828.283 10.0 100.828)",122
"POINT (818.182 10.0 100.818)",123
"POINT (808.081 10.0 100.808)",124
"POINT (797.98 10.0 100.798)",125
"POINT (787.879 10.0 100.788)",126
"POINT (777.778 10.0 100.778)",127
"POINT (767.677 10.0 100.768)",128
"POINT (757.576 10.0 100.758)",129
"POINT (747.475 10.0 100.747)",130
"POINT (737.374 10.0 100.737)",131
"POINT (727.273 10.0 100.727)",132
"POINT (717.172 10.0 100.717)",133
"POINT (707.071 10.0 100.707)",134
"POINT (696.97 10.0 100.697)",135
"POINT (686.869 10.0 100.687)",136
"POINT (676.768 10.0 100.677)",137
"POINT (666.667 10.0 100.667)",138
"POINT (656.566 10.0 100.657)",139
"POINT (646.465 10.0 100.646)",140
"POINT (636.364 10.0 100.636)",141
"POINT (626.263 10.0 100.626)",142
"POINT (616.162 10.0 100.616)",143
"POINT (606.061 10.0 100.606)",144
"POINT (595.96 10.0 100.596)",145
"POINT (585.859 10.0 100.586)",146
"POINT (575.758 10.0 100.576)",147
"POINT (565.657 10.0 100.566)",148
"POINT (555.556 10.0 100.556)",149
"POINT (545.455 10.0 100.545)",150
"POINT (535.354 10.0 100.535)",151
"POINT (525.253 10.0 100.525)",152
"POINT (515.152 10.0 100.515)",153
"POINT (505.051 10.0 100.505)",154
"POINT (494.949 10.0 100.495)",155
"POINT (484.848 10.0 100.485)",156
"POINT (474.747 10.0 100.475)",157
"POINT (464.646 10.0 100.465)",158
"POINT (454.545 10.0 100.455)",159
"POINT (444.444 10.0 100.444)",160
"POINT (434.343 10.0 100.434)",161
"POINT (424.242 10.0 100.424)",162
"POINT (414.141 10.0 100.414)",163
"POINT (404.04 10.0 100.404)",164
"POINT (393.939 10.0 100.394)",165
"POINT (383.838 10.0 100.384)",166
"POINT (373.737 10.0 100.374)",167
"POINT (363.636 10.0 100.364)",168
"POINT (353.535 10.0 100.354)",169
"POINT (343.434 10.0 100.343)",170
"POINT (333.333 10.0 100.333)",171
"POINT (323.232 10.0 100.323)",172
"POINT (313.131 10.0 100.313)",173
"POINT (303.03 10.0 100.303)",174
"POINT (292.929 10.0 100.293)",175
"POINT (282.828 10.0 100.283)",176
"POINT (272.727 10.0 100.273)",177
"POINT (262.626 10.0 100.263)",178
"POINT (252.525 10.0 100.253)",179
"POINT (242.424 10.0 100.242)",180
"POINT (232.323 10.0 100.232)",181
"POINT (222.222 10.0 100.222)",182
"POINT (212.121 10.0 100.212)",183
"POINT (202.02 10.0 100.202)",184
"POINT (191.919 10.0 100.192)",185
