WKT,node
"POINT (218.02 382.573 0.0)",1
"POINT (234.644 352.522 0.0)",2
"POINT (238.481 348.525 0.0)",3
"POINT (241.518 345.169 0.0)",4
"POINT (245.994 343.25 0.0)",5
"POINT (251.428 344.529 0.0)",6
"POINT (255.425 348.845 0.0)",7
"POINT (255.265 353.481 0.0)",8
"POINT (253.506 357.797 0.0)",9
"POINT (249.51 360.994 0.0)",10
"POINT (244.555 361.153 0.0)",11
"POINT (239.6 360.194 0.0)",12
"POINT (236.563 358.596 0.0)",13
"POINT (219.779 382.733 0.0)",14
"POINT (222.336 383.053 0.0)",15
"POINT (225.293 383.372 0.0)",16
"POINT (228.89 383.292 0.0)",17
"POINT (232.327 383.053 0.0)",18
"POINT (235.923 382.733 0.0)",19
"POINT (238.96 382.093 0.0)",20
"POINT (242.157 381.374 0.0)",21
"POINT (328.795 417.1 0.0)",22
"POINT (334.869 417.58 0.0)",23
"POINT (340.624 414.383 0.0)",24
"POINT (342.062 408.309 0.0)",25
"POINT (338.705 404.952 0.0)",26
"POINT (330.873 403.193 0.0)",27
"POINT (325.438 406.55 0.0)",28
"POINT (323.999 413.584 0.0)",29
"POINT (319.364 415.342 0.0)",30
"POINT (315.527 417.26 0.0)",31
"POINT (310.572 419.178 0.0)",32
"POINT (306.896 421.736 0.0)",33
"POINT (301.141 424.453 0.0)",34
"POINT (296.186 427.171 0.0)",35
"POINT (291.231 429.728 0.0)",36
"POINT (336.308 340.693 0.0)",37
"POINT (345.899 340.693 0.0)",38
"POINT (356.768 341.332 0.0)",39
"POINT (367.318 341.013 0.0)",40
"POINT (378.188 341.013 0.0)",41
"POINT (390.017 341.013 0.0)",42
"POINT (221.104 437.663 0.0)",43
"POINT (229.861 440.463 0.0)",44
"POINT (239.737 442.065 0.0)",45
"POINT (249.612 443.666 0.0)",46
"POINT (259.488 445.268 0.0)",47
"POINT (269.363 446.869 0.0)",48
"POINT (279.239 448.47 0.0)",49
"POINT (289.12 449.893 0.0)",50
"POINT (299.079 448.934 0.0)",51
"POINT (309.037 447.974 0.0)",52
"POINT (318.995 447.014 0.0)",53
"POINT (328.954 446.054 0.0)",54
"POINT (338.912 445.094 0.0)",55
"POINT (348.871 444.134 0.0)",56
"POINT (358.829 443.175 0.0)",57
"POINT (368.788 442.215 0.0)",58
"POINT (377.87 438.784 0.0)",59
"POINT (385.71 433.311 0.0)",60
"POINT (393.27 426.759 0.0)",61
"POINT (400.83 420.207 0.0)",62
"POINT (408.391 413.654 0.0)",63
"POINT (415.951 407.102 0.0)",64
"POINT (423.511 400.55 0.0)",65
"POINT (431.072 393.997 0.0)",66
"POINT (438.632 387.445 0.0)",67
"POINT (442.288 378.341 0.0)",68
"POINT (445.253 368.786 0.0)",69
"POINT (448.219 359.231 0.0)",70
"POINT (451.184 349.676 0.0)",71
"POINT (454.148 340.121 0.0)",72
"POINT (457.083 330.557 0.0)",73
"POINT (460.017 320.992 0.0)",74
"POINT (462.952 311.428 0.0)",75
"POINT (465.887 301.863 0.0)",76
"POINT (464.917 292.638 0.0)",77
"POINT (462.139 284.015 0.0)",78
"POINT (456.804 275.552 0.0)",79
"POINT (451.468 267.089 0.0)",80
"POINT (446.133 258.626 0.0)",81
"POINT (440.797 250.162 0.0)",82
"POINT (432.262 245.907 0.0)",83
"POINT (423.801 242.477 0.0)",84
"POINT (413.98 240.566 0.0)",85
"POINT (404.16 238.654 0.0)",86
"POINT (394.34 236.743 0.0)",87
"POINT (384.52 234.832 0.0)",88
"POINT (374.699 232.92 0.0)",89
"POINT (364.879 231.009 0.0)",90
"POINT (354.994 230.029 0.0)",91
"POINT (345.003 230.56 0.0)",92
"POINT (335.013 231.09 0.0)",93
"POINT (325.022 231.621 0.0)",94
"POINT (315.032 232.151 0.0)",95
"POINT (305.041 232.682 0.0)",96
"POINT (296.651 237.157 0.0)",97
"POINT (287.883 241.448 0.0)",98
"POINT (279.914 247.496 0.0)",99
"POINT (271.945 253.545 0.0)",100
"POINT (263.976 259.594 0.0)",101
"POINT (256.007 265.643 0.0)",102
"POINT (249.345 273.074 0.0)",103
"POINT (242.852 280.686 0.0)",104
"POINT (236.36 288.298 0.0)",105
"POINT (229.867 295.91 0.0)",106
"POINT (223.375 303.522 0.0)",107
"POINT (216.883 311.133 0.0)",108
"POINT (210.39 318.745 0.0)",109
"POINT (206.059 327.671 0.0)",110
"POINT (202.289 336.938 0.0)",111
"POINT (198.52 346.206 0.0)",112
"POINT (194.75 355.473 0.0)",113
"POINT (190.98 364.74 0.0)",114
"POINT (187.211 374.007 0.0)",115
"POINT (186.693 383.499 0.0)",116
"POINT (188.265 392.259 0.0)",117
"POINT (192.634 401.26 0.0)",118
"POINT (197.003 410.26 0.0)",119
"POINT (201.372 419.26 0.0)",120
"POINT (205.741 428.26 0.0)",121
"POINT (212.028 434.543 0.0)",122
