WKT,node
"POINT (629985.941 4783737.339 0.000)",1
"POINT (629985.802 4783735.438 0.000)",2
"POINT (629985.674 4783733.677 0.000)",3
"POINT (629985.318 4783732.083 0.000)",4
"POINT (629984.893 4783730.421 0.000)",5
"POINT (629984.506 4783728.905 0.000)",6
"POINT (629983.809 4783727.594 0.000)",7
"POINT (629983.088 4783726.255 0.000)",8
"POINT (629982.504 4783725.170 0.000)",9
"POINT (629981.561 4783724.697 0.000)",10
"POINT (629980.410 4783724.163 0.000)",11
"POINT (629979.461 4783723.901 0.000)",12
"POINT (629978.228 4783724.010 0.000)",13
"POINT (629976.950 4783724.123 0.000)",14
"POINT (629975.925 4783724.480 0.000)",15
"POINT (629974.742 4783725.120 0.000)",16
"POINT (629973.581 4783725.747 0.000)",17
"POINT (629972.789 4783726.343 0.000)",18
"POINT (629972.133 4783727.360 0.000)",19
"POINT (629971.424 4783728.460 0.000)",20
"POINT (629970.752 4783729.574 0.000)",21
"POINT (629970.087 4783730.779 0.000)",22
"POINT (629969.388 4783732.044 0.000)",23
"POINT (629968.633 4783733.411 0.000)",24
"POINT (629967.718 4783735.068 0.000)",25
"POINT (629965.844 4783736.379 0.000)",26
"POINT (629964.300 4783737.201 0.000)",27
"POINT (629962.822 4783737.988 0.000)",28
"POINT (629961.286 4783738.806 0.000)",29
"POINT (629959.232 4783739.481 0.000)",30
"POINT (629957.445 4783739.536 0.000)",31
"POINT (629955.812 4783739.586 0.000)",32
"POINT (629954.204 4783739.635 0.000)",33
"POINT (629952.553 4783739.686 0.000)",34
"POINT (629950.644 4783739.744 0.000)",35
"POINT (629948.819 4783739.137 0.000)",36
"POINT (629947.225 4783738.606 0.000)",37
"POINT (629945.639 4783738.077 0.000)",38
"POINT (629943.972 4783737.522 0.000)",39
"POINT (629941.945 4783736.633 0.000)",40
"POINT (629940.559 4783735.267 0.000)",41
"POINT (629939.334 4783734.060 0.000)",42
"POINT (629938.136 4783732.879 0.000)",43
"POINT (629936.902 4783731.662 0.000)",44
"POINT (629935.467 4783730.147 0.000)",45
"POINT (629934.721 4783728.343 0.000)",46
"POINT (629934.069 4783726.768 0.000)",47
"POINT (629933.435 4783725.236 0.000)",48
"POINT (629932.792 4783723.681 0.000)",49
"POINT (629932.075 4783721.949 0.000)",50
"POINT (629986.644 4783737.263 0.000)",51
"POINT (629986.464 4783735.383 0.000)",52
"POINT (629986.271 4783733.608 0.000)",53
"POINT (629985.922 4783731.931 0.000)",54
"POINT (629985.480 4783730.263 0.000)",55
"POINT (629984.989 4783728.724 0.000)",56
"POINT (629984.306 4783727.326 0.000)",57
"POINT (629983.540 4783725.995 0.000)",58
"POINT (629982.772 4783724.935 0.000)",59
"POINT (629981.761 4783724.284 0.000)",60
"POINT (629980.581 4783723.757 0.000)",61
"POINT (629979.455 4783723.495 0.000)",62
"POINT (629978.189 4783723.539 0.000)",63
"POINT (629976.892 4783723.687 0.000)",64
"POINT (629975.718 4783724.065 0.000)",65
"POINT (629974.505 4783724.685 0.000)",66
"POINT (629973.353 4783725.363 0.000)",67
"POINT (629972.471 4783726.105 0.000)",68
"POINT (629971.746 4783727.105 0.000)",69
"POINT (629971.024 4783728.203 0.000)",70
"POINT (629970.331 4783729.335 0.000)",71
"POINT (629969.645 4783730.530 0.000)",72
"POINT (629968.922 4783731.779 0.000)",73
"POINT (629968.120 4783733.109 0.000)",74
"POINT (629967.074 4783734.590 0.000)",75
"POINT (629965.514 4783735.803 0.000)",76
"POINT (629964.011 4783736.668 0.000)",77
"POINT (629962.542 4783737.453 0.000)",78
"POINT (629960.996 4783738.212 0.000)",79
"POINT (629959.166 4783738.780 0.000)",80
"POINT (629957.418 4783738.934 0.000)",81
"POINT (629955.793 4783739.007 0.000)",82
"POINT (629954.189 4783739.053 0.000)",83
"POINT (629952.544 4783739.073 0.000)",84
"POINT (629950.754 4783738.982 0.000)",85
"POINT (629949.007 4783738.547 0.000)",86
"POINT (629947.413 4783738.039 0.000)",87
"POINT (629945.837 4783737.500 0.000)",88
"POINT (629944.199 4783736.897 0.000)",89
"POINT (629942.438 4783736.017 0.000)",90
"POINT (629941.000 4783734.805 0.000)",91
"POINT (629939.759 4783733.626 0.000)",92
"POINT (629938.566 4783732.447 0.000)",93
"POINT (629937.364 4783731.210 0.000)",94
"POINT (629936.154 4783729.747 0.000)",95
"POINT (629935.302 4783728.091 0.000)",96
"POINT (629934.623 4783726.537 0.000)",97
"POINT (629933.988 4783725.009 0.000)",98
"POINT (629933.367 4783723.451 0.000)",99
"POINT (629932.785 4783721.761 0.000)",100
"POINT (629987.327 4783737.188 0.000)",101
"POINT (629987.128 4783735.315 0.000)",102
"POINT (629986.894 4783733.512 0.000)",103
"POINT (629986.535 4783731.780 0.000)",104
"POINT (629986.069 4783730.090 0.000)",105
"POINT (629985.518 4783728.510 0.000)",106
"POINT (629984.811 4783727.051 0.000)",107
"POINT (629983.989 4783725.701 0.000)",108
"POINT (629983.081 4783724.610 0.000)",109
"POINT (629981.980 4783723.860 0.000)",110
"POINT (629980.738 4783723.322 0.000)",111
"POINT (629979.484 4783723.052 0.000)",112
"POINT (629978.153 4783723.057 0.000)",113
"POINT (629976.806 4783723.228 0.000)",114
"POINT (629975.525 4783723.622 0.000)",115
"POINT (629974.261 4783724.244 0.000)",116
"POINT (629973.090 4783724.980 0.000)",117
"POINT (629972.144 4783725.821 0.000)",118
"POINT (629971.359 4783726.838 0.000)",119
"POINT (629970.621 4783727.944 0.000)",120
"POINT (629969.912 4783729.087 0.000)",121
"POINT (629969.207 4783730.274 0.000)",122
"POINT (629968.465 4783731.504 0.000)",123
"POINT (629967.632 4783732.787 0.000)",124
"POINT (629966.567 4783734.121 0.000)",125
"POINT (629965.166 4783735.261 0.000)",126
"POINT (629963.718 4783736.143 0.000)",127
"POINT (629962.269 4783736.921 0.000)",128
"POINT (629960.746 4783737.626 0.000)",129
"POINT (629959.056 4783738.133 0.000)",130
"POINT (629957.377 4783738.341 0.000)",131
"POINT (629955.771 4783738.431 0.000)",132
"POINT (629954.179 4783738.474 0.000)",133
"POINT (629952.554 4783738.468 0.000)",134
"POINT (629950.850 4783738.335 0.000)",135
"POINT (629949.176 4783737.962 0.000)",136
"POINT (629947.600 4783737.475 0.000)",137
"POINT (629946.042 4783736.931 0.000)",138
"POINT (629944.449 4783736.298 0.000)",139
"POINT (629942.831 4783735.438 0.000)",140
"POINT (629941.419 4783734.337 0.000)",141
"POINT (629940.178 4783733.193 0.000)",142
"POINT (629938.997 4783732.022 0.000)",143
"POINT (629937.834 4783730.783 0.000)",144
"POINT (629936.728 4783729.372 0.000)",145
"POINT (629935.866 4783727.824 0.000)",146
"POINT (629935.171 4783726.302 0.000)",147
"POINT (629934.539 4783724.786 0.000)",148
"POINT (629933.941 4783723.236 0.000)",149
"POINT (629933.413 4783721.596 0.000)",150
"POINT (629988.007 4783737.114 0.000)",151
"POINT (629987.795 4783735.237 0.000)",152
"POINT (629987.535 4783733.405 0.000)",153
"POINT (629987.160 4783731.625 0.000)",154
"POINT (629986.669 4783729.902 0.000)",155
"POINT (629986.071 4783728.278 0.000)",156
"POINT (629985.330 4783726.764 0.000)",157
"POINT (629984.446 4783725.375 0.000)",158
"POINT (629983.421 4783724.232 0.000)",159
"POINT (629982.217 4783723.412 0.000)",160
"POINT (629980.892 4783722.854 0.000)",161
"POINT (629979.528 4783722.571 0.000)",162
"POINT (629978.120 4783722.557 0.000)",163
"POINT (629976.708 4783722.741 0.000)",164
"POINT (629975.334 4783723.149 0.000)",165
"POINT (629974.005 4783723.789 0.000)",166
"POINT (629972.796 4783724.586 0.000)",167
"POINT (629971.797 4783725.509 0.000)",168
"POINT (629970.968 4783726.561 0.000)",169
"POINT (629970.213 4783727.681 0.000)",170
"POINT (629969.492 4783728.832 0.000)",171
"POINT (629968.774 4783730.013 0.000)",172
"POINT (629968.019 4783731.223 0.000)",173
"POINT (629967.172 4783732.455 0.000)",174
"POINT (629966.121 4783733.679 0.000)",175
"POINT (629964.817 4783734.752 0.000)",176
"POINT (629963.424 4783735.630 0.000)",177
"POINT (629962.005 4783736.397 0.000)",178
"POINT (629960.524 4783737.061 0.000)",179
"POINT (629958.936 4783737.531 0.000)",180
"POINT (629957.328 4783737.760 0.000)",181
"POINT (629955.748 4783737.861 0.000)",182
"POINT (629954.172 4783737.901 0.000)",183
"POINT (629952.574 4783737.878 0.000)",184
"POINT (629950.941 4783737.730 0.000)",185
"POINT (629949.333 4783737.388 0.000)",186
"POINT (629947.785 4783736.919 0.000)",187
"POINT (629946.252 4783736.371 0.000)",188
"POINT (629944.707 4783735.727 0.000)",189
"POINT (629943.186 4783734.897 0.000)",190
"POINT (629941.818 4783733.871 0.000)",191
"POINT (629940.590 4783732.763 0.000)",192
"POINT (629939.426 4783731.605 0.000)",193
"POINT (629938.300 4783730.377 0.000)",194
"POINT (629937.259 4783729.020 0.000)",195
"POINT (629936.410 4783727.552 0.000)",196
"POINT (629935.712 4783726.066 0.000)",197
"POINT (629935.086 4783724.567 0.000)",198
"POINT (629934.507 4783723.034 0.000)",199
"POINT (629934.011 4783721.438 0.000)",200
"POINT (629988.686 4783737.039 0.000)",201
"POINT (629988.468 4783735.154 0.000)",202
"POINT (629988.193 4783733.290 0.000)",203
"POINT (629987.801 4783731.463 0.000)",204
"POINT (629987.281 4783729.700 0.000)",205
"POINT (629986.645 4783728.032 0.000)",206
"POINT (629985.867 4783726.463 0.000)",207
"POINT (629984.922 4783725.017 0.000)",208
"POINT (629983.784 4783723.810 0.000)",209
"POINT (629982.471 4783722.933 0.000)",210
"POINT (629981.049 4783722.349 0.000)",211
"POINT (629979.579 4783722.055 0.000)",212
"POINT (629978.088 4783722.032 0.000)",213
"POINT (629976.602 4783722.223 0.000)",214
"POINT (629975.139 4783722.645 0.000)",215
"POINT (629973.734 4783723.315 0.000)",216
"POINT (629972.472 4783724.177 0.000)",217
