WKT,node
"POINT (482517.487 4736166.942 0.000)",1
"POINT (482515.228 4736173.014 0.000)",2
"POINT (482512.343 4736179.457 0.000)",3
"POINT (482509.045 4736185.423 0.000)",4
"POINT (482505.791 4736190.597 0.000)",5
"POINT (482503.304 4736195.132 0.000)",6
"POINT (482501.841 4736199.886 0.000)",7
"POINT (482501.033 4736205.442 0.000)",8
"POINT (482499.851 4736212.122 0.000)",9
"POINT (482497.615 4736218.560 0.000)",10
"POINT (482495.082 4736224.203 0.000)",11
"POINT (482492.693 4736229.224 0.000)",12
"POINT (482490.510 4736233.841 0.000)",13
"POINT (482488.529 4736238.203 0.000)",14
"POINT (482486.724 4736242.415 0.000)",15
"POINT (482485.075 4736246.558 0.000)",16
"POINT (482483.561 4736250.702 0.000)",17
"POINT (482482.185 4736254.934 0.000)",18
"POINT (482480.978 4736259.250 0.000)",19
"POINT (482479.888 4736263.661 0.000)",20
"POINT (482478.907 4736268.161 0.000)",21
"POINT (482478.032 4736272.732 0.000)",22
"POINT (482477.263 4736277.362 0.000)",23
"POINT (482476.609 4736282.013 0.000)",24
"POINT (482476.045 4736286.679 0.000)",25
"POINT (482475.574 4736291.370 0.000)",26
"POINT (482475.203 4736296.104 0.000)",27
"POINT (482474.941 4736300.909 0.000)",28
"POINT (482474.807 4736305.826 0.000)",29
"POINT (482474.829 4736310.898 0.000)",30
"POINT (482475.032 4736316.164 0.000)",31
"POINT (482475.452 4736321.695 0.000)",32
"POINT (482476.143 4736327.549 0.000)",33
"POINT (482477.159 4736333.771 0.000)",34
"POINT (482478.514 4736340.295 0.000)",35
"POINT (482480.217 4736346.934 0.000)",36
"POINT (482482.268 4736353.487 0.000)",37
"POINT (482484.647 4736359.806 0.000)",38
"POINT (482487.324 4736365.821 0.000)",39
"POINT (482490.262 4736371.530 0.000)",40
"POINT (482493.411 4736376.967 0.000)",41
"POINT (482496.733 4736382.169 0.000)",42
"POINT (482500.222 4736387.194 0.000)",43
"POINT (482503.926 4736392.043 0.000)",44
"POINT (482507.798 4736396.758 0.000)",45
"POINT (482511.879 4736401.392 0.000)",46
"POINT (482516.198 4736405.953 0.000)",47
"POINT (482520.748 4736410.406 0.000)",48
"POINT (482525.478 4736414.683 0.000)",49
"POINT (482530.324 4736418.663 0.000)",50
"POINT (482535.131 4736422.275 0.000)",51
"POINT (482539.843 4736425.532 0.000)",52
"POINT (482544.447 4736428.465 0.000)",53
"POINT (482548.993 4736431.129 0.000)",54
"POINT (482553.499 4736433.439 0.000)",55
"POINT (482557.916 4736435.491 0.000)",56
"POINT (482562.291 4736437.320 0.000)",57
"POINT (482566.712 4736438.881 0.000)",58
"POINT (482571.056 4736440.120 0.000)",59
"POINT (482575.340 4736441.122 0.000)",60
"POINT (482579.590 4736441.890 0.000)",61
"POINT (482583.811 4736442.329 0.000)",62
"POINT (482587.848 4736442.492 0.000)",63
"POINT (482591.728 4736442.433 0.000)",64
"POINT (482595.484 4736442.162 0.000)",65
"POINT (482599.053 4736441.587 0.000)",66
"POINT (482602.411 4736440.865 0.000)",67
"POINT (482605.637 4736440.001 0.000)",68
"POINT (482608.784 4736438.934 0.000)",69
"POINT (482611.793 4736437.675 0.000)",70
"POINT (482614.755 4736436.222 0.000)",71
"POINT (482617.758 4736434.498 0.000)",72
"POINT (482620.920 4736432.444 0.000)",73
"POINT (482624.412 4736430.081 0.000)",74
"POINT (482628.390 4736427.568 0.000)",75
"POINT (482632.843 4736425.220 0.000)",76
"POINT (482637.463 4736423.129 0.000)",77
"POINT (482642.125 4736421.207 0.000)",78
"POINT (482646.779 4736419.394 0.000)",79
"POINT (482651.414 4736417.641 0.000)",80
"POINT (482656.047 4736415.908 0.000)",81
"POINT (482660.708 4736414.187 0.000)",82
"POINT (482665.424 4736412.480 0.000)",83
"POINT (482670.203 4736410.799 0.000)",84
"POINT (482675.056 4736409.191 0.000)",85
"POINT (482680.017 4736407.664 0.000)",86
"POINT (482685.074 4736406.255 0.000)",87
"POINT (482690.196 4736405.018 0.000)",88
"POINT (482695.332 4736403.995 0.000)",89
"POINT (482700.418 4736403.203 0.000)",90
"POINT (482705.388 4736402.651 0.000)",91
"POINT (482710.252 4736402.302 0.000)",92
"POINT (482714.982 4736402.091 0.000)",93
"POINT (482719.577 4736401.980 0.000)",94
"POINT (482724.054 4736401.982 0.000)",95
"POINT (482728.506 4736402.056 0.000)",96
"POINT (482732.932 4736402.174 0.000)",97
"POINT (482737.370 4736402.386 0.000)",98
"POINT (482741.886 4736402.646 0.000)",99
"POINT (482746.471 4736402.959 0.000)",100
"POINT (482751.173 4736403.376 0.000)",101
"POINT (482756.010 4736403.882 0.000)",102
"POINT (482760.961 4736404.508 0.000)",103
"POINT (482765.972 4736405.293 0.000)",104
"POINT (482770.954 4736406.321 0.000)",105
"POINT (482775.796 4736407.610 0.000)",106
"POINT (482780.280 4736409.069 0.000)",107
"POINT (482784.325 4736410.321 0.000)",108
"POINT (482788.122 4736411.413 0.000)",109
"POINT (482791.923 4736412.124 0.000)",110
"POINT (482795.714 4736412.834 0.000)",111
"POINT (482799.380 4736413.321 0.000)",112
"POINT (482803.215 4736413.708 0.000)",113
"POINT (482807.078 4736414.098 0.000)",114
"POINT (482810.878 4736414.479 0.000)",115
"POINT (482814.733 4736414.644 0.000)",116
"POINT (482818.704 4736414.814 0.000)",117
"POINT (482822.728 4736414.987 0.000)",118
"POINT (482826.795 4736415.161 0.000)",119
"POINT (482830.946 4736415.339 0.000)",120
"POINT (482515.970 4736166.259 0.000)",121
"POINT (482513.484 4736172.336 0.000)",122
"POINT (482510.656 4736178.632 0.000)",123
"POINT (482507.521 4736184.539 0.000)",124
"POINT (482504.470 4736189.807 0.000)",125
"POINT (482502.029 4736194.617 0.000)",126
"POINT (482500.427 4736199.566 0.000)",127
"POINT (482499.362 4736205.201 0.000)",128
"POINT (482498.034 4736211.618 0.000)",129
"POINT (482495.961 4736217.909 0.000)",130
"POINT (482493.635 4736223.546 0.000)",131
"POINT (482491.378 4736228.612 0.000)",132
"POINT (482489.281 4736233.279 0.000)",133
"POINT (482487.352 4736237.688 0.000)",134
"POINT (482485.575 4736241.944 0.000)",135
"POINT (482483.932 4736246.130 0.000)",136
"POINT (482482.416 4736250.319 0.000)",137
"POINT (482481.030 4736254.572 0.000)",138
"POINT (482479.780 4736258.921 0.000)",139
