WKT,element
"POLYGON ((582617.897 5035091.077,582623.718 5035067.796,582698.55 5035043.683,582617.897 5035091.077))",1
"POLYGON ((582617.897 5035091.077,582698.55 5035043.683,582753.427 5035121.01,582617.897 5035091.077))",2
"POLYGON ((582681.089 5035020.402,582698.55 5035043.683,582623.718 5035067.796,582681.089 5035020.402))",3
"POLYGON ((582753.427 5035121.01,582698.55 5035043.683,582740.955 5035055.324,582753.427 5035121.01))",4
"POLYGON ((582530.593 5035134.314,582561.357 5035096.066,582573.829 5035180.045,582530.593 5035134.314))",5
"POLYGON ((582617.897 5035091.077,582573.829 5035180.045,582561.357 5035096.066,582617.897 5035091.077))",6
"POLYGON ((583101.152 5035164.941,583069.387 5035160.921,583118.443 5035143.46,583101.152 5035164.941))",7
"POLYGON ((582617.897 5035235.753,582617.897 5035091.077,582753.427 5035121.01,582617.897 5035235.753))",8
"POLYGON ((583192.444 5034989.638,583226.119 5035014.426,583200.343 5035027.73,583192.444 5034989.638))",9
"POLYGON ((583226.119 5035014.426,583192.444 5034989.638,583280.58 5034968.851,583226.119 5035014.426))",10
"POLYGON ((583280.58 5034968.851,583329.222 5035008.606,583295.963 5035006.943,583280.58 5034968.851))",11
"POLYGON ((583373.29 5035021.078,583329.222 5035008.606,583376.2 5034985.48,583373.29 5035021.078))",12
"POLYGON ((583226.119 5035014.426,583295.963 5035006.943,583167.916 5035111.708,583226.119 5035014.426))",13
"POLYGON ((583280.58 5034968.851,583295.963 5035006.943,583226.119 5035014.426,583280.58 5034968.851))",14
"POLYGON ((583329.637 5035249.057,583167.916 5035111.708,583295.963 5035006.943,583329.637 5035249.057))",15
"POLYGON ((583118.443 5035143.46,583167.916 5035111.708,583135.489 5035148.293,583118.443 5035143.46))",16
"POLYGON ((583167.916 5035111.708,583118.443 5035143.46,583166.669 5035024.56,583167.916 5035111.708))",17
"POLYGON ((583167.916 5035111.708,583166.669 5035024.56,583181.22 5035055.168,583167.916 5035111.708))",18
"POLYGON ((583167.916 5035111.708,583234.018 5035291.462,583135.489 5035148.293,583167.916 5035111.708))",19
"POLYGON ((583167.916 5035111.708,583181.22 5035055.168,583226.119 5035014.426,583167.916 5035111.708))",20
"POLYGON ((583200.343 5035027.73,583181.22 5035055.168,583166.669 5035024.56,583200.343 5035027.73))",21
"POLYGON ((583200.343 5035027.73,583166.669 5035024.56,583192.444 5034989.638,583200.343 5035027.73))",22
"POLYGON ((583226.119 5035014.426,583181.22 5035055.168,583200.343 5035027.73,583226.119 5035014.426))",23
"POLYGON ((583329.637 5035249.057,583295.963 5035006.943,583409.043 5035077.618,583329.637 5035249.057))",24
"POLYGON ((583295.963 5035006.943,583329.222 5035008.606,583409.043 5035077.618,583295.963 5035006.943))",25
"POLYGON ((583329.222 5035008.606,583280.58 5034968.851,583376.2 5034985.48,583329.222 5035008.606))",26
"POLYGON ((583101.152 5035164.941,583118.443 5035143.46,583135.489 5035148.293,583101.152 5035164.941))",27
"POLYGON ((582573.829 5035180.045,582617.897 5035091.077,582617.897 5035235.753,582573.829 5035180.045))",28
"POLYGON ((582925.974 5035245.457,582863.182 5035217.461,582910.576 5035191.685,582925.974 5035245.457))",29
"POLYGON ((582965.622 5035208.178,582910.576 5035191.685,582994.554 5035173.393,582965.622 5035208.178))",30
"POLYGON ((582955.644 5035227.301,582910.576 5035191.685,582965.622 5035208.178,582955.644 5035227.301))",31
"POLYGON ((582753.427 5035121.01,582804.147 5035193.348,582617.897 5035235.753,582753.427 5035121.01))",32
"POLYGON ((582628.154 5035280.754,582617.897 5035235.753,582804.147 5035193.348,582628.154 5035280.754))",33
"POLYGON ((582925.974 5035245.457,582919.356 5035262.002,582863.182 5035217.461,582925.974 5035245.457))",34
"POLYGON ((582863.182 5035217.461,582760.519 5035352.452,582804.147 5035193.348,582863.182 5035217.461))",35
"POLYGON ((582942.52 5035242.148,582955.644 5035227.301,582982.229 5035246.56,582942.52 5035242.148))",36
"POLYGON ((582955.644 5035227.301,582942.52 5035242.148,582925.974 5035245.457,582955.644 5035227.301))",37
"POLYGON ((582982.229 5035246.56,582955.644 5035227.301,582965.622 5035208.178,582982.229 5035246.56))",38
"POLYGON ((582982.229 5035246.56,582925.974 5035245.457,582942.52 5035242.148,582982.229 5035246.56))",39
"POLYGON ((582910.576 5035191.685,582955.644 5035227.301,582925.974 5035245.457,582910.576 5035191.685))",40
"POLYGON ((582965.622 5035208.178,583002.207 5035193.211,582982.229 5035246.56,582965.622 5035208.178))",41
"POLYGON ((583002.207 5035193.211,582994.554 5035173.393,583032.14 5035183.233,583002.207 5035193.211))",42
"POLYGON ((582994.554 5035173.393,583069.387 5035160.921,583032.14 5035183.233,582994.554 5035173.393))",43
"POLYGON ((583079.78 5035192.361,583045.69 5035190.698,583074.545 5035174.919,583079.78 5035192.361))",44
"POLYGON ((583032.14 5035183.233,583069.387 5035160.921,583074.545 5035174.919,583032.14 5035183.233))",45
"POLYGON ((583074.545 5035174.919,583045.69 5035190.698,583032.14 5035183.233,583074.545 5035174.919))",46
"POLYGON ((583079.78 5035192.361,583074.545 5035174.919,583101.152 5035164.941,583079.78 5035192.361))",47
