WKT,node
"POINT (585838.513 5036497.79 206.472)",1
"POINT (585794.03 5036517.33 206.472)",2
"POINT (585747.467 5036540.611 206.472)",3
"POINT (585742.063 5036570.129 206.472)",4
"POINT (585752.04 5036607.129 206.472)",5
"POINT (585801.097 5036659.512 206.472)",6
"POINT (585900.874 5036770.097 206.472)",7
"POINT (585950.762 5036828.301 206.472)",8
"POINT (586058.022 5036908.953 206.472)",9
"POINT (586107.079 5036935.976 206.472)",10
"POINT (586147.821 5036936.808 206.472)",11
"POINT (586153.225 5036915.605 206.472)",12
"POINT (586114.146 5036829.548 206.472)",13
"POINT (586072.157 5036665.332 206.472)",14
"POINT (586079.64 5036602.972 206.472)",15
"POINT (586079.224 5036520.24 206.472)",16
"POINT (586066.337 5036469.52 206.472)",17
"POINT (586035.988 5036420.048 206.472)",18
"POINT (586002.729 5036396.767 206.472)",19
"POINT (585952.425 5036390.531 206.472)",20
"POINT (585914.593 5036414.643 206.472)",21
"POINT (585887.57 5036449.565 206.472)",22
"POINT (585860.132 5036479.498 206.472)",23
"POINT (585728.759 5036459.958 212.568)",24
"POINT (585742.063 5036453.307 212.568)",25
"POINT (585750.793 5036452.891 212.568)",26
"POINT (585767.423 5036449.981 212.568)",27
"POINT (585826.873 5036417.138 212.568)",28
"POINT (585876.761 5036353.946 212.568)",29
"POINT (585903.784 5036333.99 212.568)",30
"POINT (585934.964 5036336.901 212.568)",31
"POINT (585989.01 5036347.71 212.568)",32
"POINT (586053.449 5036372.238 212.568)",33
"POINT (586095.022 5036385.957 212.568)",34
"POINT (586122.461 5036417.138 212.568)",35
"POINT (586120.798 5036467.442 212.568)",36
"POINT (586119.135 5036494.88 212.568)",37
"POINT (586119.135 5036534.791 212.568)",38
"POINT (586129.113 5036590.084 212.568)",39
"POINT (586136.18 5036644.13 212.568)",40
"POINT (586151.563 5036706.906 212.568)",41
"POINT (586164.45 5036768.019 212.568)",42
"POINT (586183.158 5036820.402 212.568)",43
"POINT (586221.822 5036880.268 212.568)",44
"POINT (586248.845 5036930.156 212.568)",45
"POINT (586248.429 5036976.303 212.568)",46
"POINT (586228.058 5037004.157 212.568)",47
"POINT (586203.114 5037016.213 212.568)",48
"POINT (586134.933 5037005.404 212.568)",49
"POINT (586045.55 5036971.729 212.568)",50
"POINT (585956.998 5036910.201 212.568)",51
"POINT (585889.233 5036854.492 212.568)",52
"POINT (585841.839 5036802.109 212.568)",53
"POINT (585788.625 5036755.547 212.568)",54
"POINT (585730.838 5036684.04 212.568)",55
"POINT (585696.747 5036630.826 212.568)",56
"POINT (585659.331 5036590.915 212.568)",57
"POINT (585633.556 5036541.443 212.568)",58
"POINT (585634.387 5036506.937 212.568)",59
"POINT (585665.983 5036474.509 212.568)",60
"POINT (585693.422 5036445.823 215.616)",61
"POINT (585714.208 5036439.587 215.616)",62
"POINT (585760.771 5036426.7 215.616)",63
"POINT (585797.356 5036401.548 215.616)",64
"POINT (585850.362 5036366.002 215.616)",65
"POINT (585878.84 5036338.564 215.616)",66
"POINT (585905.655 5036321.311 215.616)",67
"POINT (585932.47 5036320.063 215.616)",68
"POINT (585977.993 5036323.597 215.616)",69
"POINT (586014.37 5036336.901 215.616)",70
"POINT (586039.314 5036336.901 215.616)",71
"POINT (586095.022 5036336.069 215.616)",72
"POINT (586191.473 5036300.316 215.616)",73
"POINT (586268.8 5036300.316 215.616)",74
"POINT (586362.756 5036341.889 215.616)",75
"POINT (586473.342 5036422.542 215.616)",76
"POINT (586504.938 5036500.701 215.616)",77
"POINT (586499.118 5036579.69 215.616)",78
"POINT (586434.263 5036588.837 215.616)",79
"POINT (586393.521 5036543.937 215.616)",80
"POINT (586339.475 5036494.049 215.616)",81
"POINT (586284.598 5036430.026 215.616)",82
"POINT (586213.923 5036386.789 215.616)",83
"POINT (586149.9 5036405.913 215.616)",84
"POINT (586136.596 5036442.498 215.616)",85
"POINT (586133.686 5036461.621 215.616)",86
"POINT (586132.439 5036533.128 215.616)",87
"POINT (586137.012 5036577.612 215.616)",88
"POINT (586147.405 5036619.185 215.616)",89
