WKT,element
"POLYGON ((378900.289 4657596.419 0.0,378896.499 4657617.499 0.0,378919.279 4657601.549 0.0,378900.289 4657596.419 0.0))",1
"POLYGON ((378919.279 4657601.549 0.0,378934.999 4657622.499 0.0,378940.909 4657603.499 0.0,378919.279 4657601.549 0.0))",2
"POLYGON ((378896.499 4657617.499 0.0,378876.999 4657625.499 0.0,378886.809 4657638.999 0.0,378896.499 4657617.499 0.0))",3
"POLYGON ((378876.999 4657625.499 0.0,378869.809 4657640.999 0.0,378886.809 4657638.999 0.0,378876.999 4657625.499 0.0))",4
"POLYGON ((378899.809 4657656.999 0.0,378917.309 4657679.999 0.0,378923.189 4657660.999 0.0,378899.809 4657656.999 0.0))",5
"POLYGON ((378899.809 4657656.999 0.0,378893.499 4657672.999 0.0,378917.309 4657679.999 0.0,378899.809 4657656.999 0.0))",6
"POLYGON ((378808.089 4657748.499 0.0,378803.909 4657761.499 0.0,378824.589 4657754.499 0.0,378808.089 4657748.499 0.0))",7
"POLYGON ((378824.589 4657754.499 0.0,378838.999 4657770.499 0.0,378842.309 4657759.999 0.0,378824.589 4657754.499 0.0))",8
"POLYGON ((378885.089 4657826.999 0.0,378871.809 4657839.499 0.0,378880.499 4657840.999 0.0,378885.089 4657826.999 0.0))",9
"POLYGON ((378715.689 4657903.169 0.0,378710.909 4657918.499 0.0,378723.359 4657921.169 0.0,378715.689 4657903.169 0.0))",10
"POLYGON ((378763.809 4657984.499 0.0,378778.589 4657998.999 0.0,378783.999 4657984.499 0.0,378763.809 4657984.499 0.0))",11
"POLYGON ((378763.809 4657984.499 0.0,378763.689 4657998.999 0.0,378778.589 4657998.999 0.0,378763.809 4657984.499 0.0))",12
"POLYGON ((378819.589 4657842.999 0.0,378812.499 4657863.999 0.0,378829.689 4657845.999 0.0,378819.589 4657842.999 0.0))",13
"POLYGON ((378841.179 4657495.489 0.0,378834.789 4657472.699 0.0,378823.069 4657487.339 0.0,378841.179 4657495.489 0.0))",14
"POLYGON ((378474.329 4656824.179 0.0,378447.409 4656806.139 0.0,378446.079 4656834.829 0.0,378474.329 4656824.179 0.0))",15
"POLYGON ((378687.179 4658145.039 0.0,378671.999 4658130.999 0.0,378673.689 4658148.999 0.0,378687.179 4658145.039 0.0))",16
"POLYGON ((378862.059 4657822.329 0.0,378844.689 4657802.499 0.0,378838.409 4657821.499 0.0,378862.059 4657822.329 0.0))",17
"POLYGON ((378371.799 4656829.029 0.0,378347.159 4656847.299 0.0,378374.149 4656855.599 0.0,378371.799 4656829.029 0.0))",18
"POLYGON ((378721.759 4657885.659 0.0,378740.549 4657881.359 0.0,378729.099 4657865.499 0.0,378721.759 4657885.659 0.0))",19
"POLYGON ((378812.499 4657863.999 0.0,378836.849 4657871.359 0.0,378829.689 4657845.999 0.0,378812.499 4657863.999 0.0))",20
"POLYGON ((378702.099 4658084.999 0.0,378684.679 4658071.139 0.0,378682.099 4658085.999 0.0,378702.099 4658084.999 0.0))",21
"POLYGON ((378671.999 4658130.999 0.0,378690.889 4658113.989 0.0,378670.809 4658110.999 0.0,378671.999 4658130.999 0.0))",22
"POLYGON ((378768.689 4657855.999 0.0,378792.989 4657856.699 0.0,378778.999 4657837.499 0.0,378768.689 4657855.999 0.0))",23
"POLYGON ((378896.499 4657617.499 0.0,378918.859 4657626.609 0.0,378919.279 4657601.549 0.0,378896.499 4657617.499 0.0))",24
"POLYGON ((378918.859 4657626.609 0.0,378934.999 4657622.499 0.0,378919.279 4657601.549 0.0,378918.859 4657626.609 0.0))",25
"POLYGON ((378738.209 4657900.659 0.0,378721.759 4657885.659 0.0,378715.689 4657903.169 0.0,378738.209 4657900.659 0.0))",26
"POLYGON ((378747.069 4658188.859 0.0,378728.809 4658183.499 0.0,378729.189 4658203.499 0.0,378747.069 4658188.859 0.0))",27
"POLYGON ((378766.189 4657750.999 0.0,378781.419 4657759.499 0.0,378783.909 4657742.499 0.0,378766.189 4657750.999 0.0))",28
"POLYGON ((378757.499 4658216.499 0.0,378744.979 4658207.229 0.0,378746.089 4658222.499 0.0,378757.499 4658216.499 0.0))",29
"POLYGON ((378893.499 4657672.999 0.0,378899.899 4657691.549 0.0,378917.309 4657679.999 0.0,378893.499 4657672.999 0.0))",30
"POLYGON ((378899.899 4657691.549 0.0,378911.409 4657698.999 0.0,378917.309 4657679.999 0.0,378899.899 4657691.549 0.0))",31
"POLYGON ((378899.899 4657691.549 0.0,378893.499 4657672.999 0.0,378885.589 4657691.499 0.0,378899.899 4657691.549 0.0))",32
"POLYGON ((378909.049 4657640.519 0.0,378899.809 4657656.999 0.0,378923.189 4657660.999 0.0,378909.049 4657640.519 0.0))",33
"POLYGON ((378929.089 4657641.999 0.0,378909.049 4657640.519 0.0,378923.189 4657660.999 0.0,378929.089 4657641.999 0.0))",34
"POLYGON ((378803.089 4657747.499 0.0,378781.419 4657759.499 0.0,378798.409 4657765.499 0.0,378803.089 4657747.499 0.0))",35
"POLYGON ((378803.089 4657747.499 0.0,378783.909 4657742.499 0.0,378781.419 4657759.499 0.0,378803.089 4657747.499 0.0))",36
"POLYGON ((378729.999 4658217.999 0.0,378744.979 4658207.229 0.0,378729.189 4658203.499 0.0,378729.999 4658217.999 0.0))",37
"POLYGON ((378729.999 4658217.999 0.0,378746.089 4658222.499 0.0,378744.979 4658207.229 0.0,378729.999 4658217.999 0.0))",38
