WKT,node
"POINT (378729.999 4658217.999 0.0)",1
"POINT (378746.089 4658222.499 0.0)",2
"POINT (378757.499 4658216.499 0.0)",3
"POINT (378674.999 4658162.499 0.0)",4
"POINT (378688.909 4658164.499 0.0)",5
"POINT (378729.189 4658203.499 0.0)",6
"POINT (378744.979 4658207.229 0.0)",7
"POINT (378699.239 4658154.109 0.0)",8
"POINT (378670.499 4658097.999 0.0)",9
"POINT (378673.689 4658148.999 0.0)",10
"POINT (378687.179 4658145.039 0.0)",11
"POINT (378702.909 4658165.999 0.0)",12
"POINT (378728.809 4658183.499 0.0)",13
"POINT (378747.069 4658188.859 0.0)",14
"POINT (378762.089 4658197.499 0.0)",15
"POINT (378691.809 4658130.719 0.0)",16
"POINT (378711.609 4658153.479 0.0)",17
"POINT (378702.769 4658140.159 0.0)",18
"POINT (378681.689 4658097.499 0.0)",19
"POINT (378670.809 4658110.999 0.0)",20
"POINT (378696.909 4658095.999 0.0)",21
"POINT (378671.999 4658130.999 0.0)",22
"POINT (378717.599 4658167.999 0.0)",23
"POINT (378728.499 4658169.499 0.0)",24
"POINT (378747.349 4658165.739 0.0)",25
"POINT (378767.689 4658178.499 0.0)",26
"POINT (378710.879 4658124.609 0.0)",27
"POINT (378718.069 4658139.689 0.0)",28
"POINT (378690.889 4658113.989 0.0)",29
"POINT (378728.639 4658152.749 0.0)",30
"POINT (378773.409 4658158.999 0.0)",31
"POINT (378756.449 4658152.129 0.0)",32
"POINT (378669.409 4658086.499 0.0)",33
"POINT (378731.429 4658128.619 0.0)",34
"POINT (378708.129 4658108.039 0.0)",35
"POINT (378716.909 4658095.499 0.0)",36
"POINT (378745.919 4658144.239 0.0)",37
"POINT (378779.189 4658139.999 0.0)",38
"POINT (378758.079 4658137.259 0.0)",39
"POINT (378668.409 4658073.999 0.0)",40
"POINT (378667.309 4658059.499 0.0)",41
"POINT (378682.099 4658085.999 0.0)",42
"POINT (378736.909 4658094.499 0.0)",43
"POINT (378725.039 4658110.119 0.0)",44
"POINT (378749.309 4658125.649 0.0)",45
"POINT (378765.799 4658126.909 0.0)",46
"POINT (378684.679 4658071.139 0.0)",47
"POINT (378666.189 4658039.499 0.0)",48
"POINT (378702.099 4658084.999 0.0)",49
"POINT (378742.099 4658110.419 0.0)",50
"POINT (378784.999 4658120.999 0.0)",51
"POINT (378761.009 4658113.159 0.0)",52
"POINT (378665.909 4658022.499 0.0)",53
"POINT (378705.419 4658069.119 0.0)",54
"POINT (378691.729 4658054.939 0.0)",55
"POINT (378679.969 4658039.229 0.0)",56
"POINT (378721.999 4658083.499 0.0)",57
"POINT (378727.349 4658067.179 0.0)",58
"POINT (378752.499 4658092.999 0.0)",59
"POINT (378771.379 4658101.979 0.0)",60
"POINT (378689.189 4658021.499 0.0)",61
"POINT (378712.329 4658052.609 0.0)",62
"POINT (378699.469 4658037.419 0.0)",63
"POINT (378753.999 4658081.999 0.0)",64
"POINT (378738.189 4658082.499 0.0)",65
"POINT (378790.809 4658101.999 0.0)",66
"POINT (378772.809 4658084.709 0.0)",67
"POINT (378709.099 4658019.499 0.0)",68
"POINT (378721.049 4658035.779 0.0)",69
"POINT (378746.149 4658066.649 0.0)",70
"POINT (378764.699 4658066.639 0.0)",71
"POINT (378735.419 4658050.799 0.0)",72
"POINT (378796.689 4658082.499 0.0)",73
"POINT (378783.899 4658066.329 0.0)",74
"POINT (378729.099 4658018.499 0.0)",75
"POINT (378744.049 4658033.479 0.0)",76
"POINT (378756.589 4658050.339 0.0)",77
"POINT (378802.499 4658063.499 0.0)",78
"POINT (378791.319 4658050.429 0.0)",79
"POINT (378774.739 4658049.799 0.0)",80
"POINT (378748.999 4658016.999 0.0)",81
"POINT (378766.229 4658033.959 0.0)",82
"POINT (378808.309 4658044.499 0.0)",83
"POINT (378790.019 4658032.569 0.0)",84
"POINT (378763.689 4657998.999 0.0)",85
"POINT (378796.589 4658011.059 0.0)",86
"POINT (378774.689 4658015.999 0.0)",87
"POINT (378808.089 4657748.499 0.0)",88
"POINT (378798.409 4657765.499 0.0)",89
"POINT (378803.089 4657747.499 0.0)",90
"POINT (378783.909 4657742.499 0.0)",91
"POINT (378766.189 4657750.999 0.0)",92
"POINT (378814.189 4658025.499 0.0)",93
"POINT (378763.809 4657984.499 0.0)",94
"POINT (378778.589 4657998.999 0.0)",95
"POINT (378842.309 4657759.999 0.0)",96
"POINT (378824.589 4657754.499 0.0)",97
"POINT (378803.909 4657761.499 0.0)",98
"POINT (378781.419 4657759.499 0.0)",99
"POINT (378791.909 4657784.499 0.0)",100
"POINT (378760.189 4657770.499 0.0)",101
"POINT (378819.999 4658005.999 0.0)",102
"POINT (378783.999 4657984.499 0.0)",103
